,dialog_act,utterance_content
1363,inform,breath id like a cheap restaurant in the north part of town
21679,request,what type of food
21915,inform,expensive restaurant
22193,inform,im looking for mediterranean food
573,inform,i dont care
108,inform,steak house
4337,request,what is the address
19736,negate,no
3193,thankyou,thank you good bye
13790,reqalts,anything else
19322,thankyou,thank you good bye
22839,reqalts,what about british
13874,request,what is the post code
24682,thankyou,thank you good bye
4575,thankyou,thank you good bye
13379,confirm,does it serve asian oriental
2166,thankyou,thank you good bye
7854,confirm,is it serving portuguese food
3539,request,address
15801,negate,no
14458,request,whats the addre
20195,inform,i dont care
5190,inform,i would like a cheap restaurant in the north part of town
269,request,address
19686,request,can i have the phone number
16308,request,the address
4310,request,whats their price range
23734,affirm,yes
14063,request,address and phone number
22080,inform,im looking for a restaurant in the center of town serving jamaican food
19774,reqalts,anything else
20556,thankyou,thank you good bye
18250,inform,i need to find an expensive restaurant in the south park of town
18483,request,and the phone number
3227,inform,im looking for a cheap restaurant in the south part of town
4698,thankyou,thank you good bye
15421,affirm,yes
6782,request,whats the address
415,request,whats their phone number
10097,request,unintelligible part of town
3894,inform,i dont care
4232,inform,im looking for a restaurant serving unintelligible
10254,reqalts,how about chinese food
18018,inform,expensive restaurant south part of town
3923,reqalts,is there anything else
10298,inform,any kind
8564,request,whats the address
12670,reqalts,how about indian food
13140,reqalts,how about portuguese
12355,inform,west
24704,reqalts,is there anything else
15920,request,whats their phone number
3551,request,what type of food is it
24101,reqalts,is there a restaurant serving vietnamese food
24893,request,okay can i have the address
19240,thankyou,thank you good bye
20268,inform,brazilian food
11681,inform,mediterranean
1369,request,could i have the address and phone number please
21544,request,post code
14930,reqalts,how about a korean restaurant
11919,thankyou,thank you good bye
3565,request,what is the address
25386,request,what is the phone number
5222,inform,im looking for a restaurant that serves mexican food
21608,request,whats the phone number
11429,inform,expensive east part of town
414,reqalts,how about vietnamese food
5826,request,whats the price range
4993,request,may i have the address
17913,inform,moderate
12000,request,what is the address
2689,inform,asian food in the north part of town
15665,inform,european
2458,thankyou,okay thank you bye
18210,negate,no
19753,negate,no
2005,request,whats the phone number
11883,inform,any
6453,thankyou,thank you good bye
9694,inform,in the west part of town
17422,inform,seafood
19160,inform,ah any
23602,request,can i have the phone nu
15427,request,phone number
9000,inform,looking for a cheap restaurant that serves steak house food
23159,request,what area of town
7836,request,what is the address
447,request,what is the address
5756,thankyou,thank you goodbye
2422,thankyou,thank you good bye
12941,request,what is the address
21908,inform,im looking for a restaurant serving pan asian foo
13801,inform,indian food noise
1974,request,and whats the phone number for that
21667,inform,i want a cheap restaurant in the south part of town
21591,thankyou,thank you goodbye
22861,thankyou,thank you good bye
20713,thankyou,thank you
10512,thankyou,thank you good bye
2521,request,address
10067,request,what is their address and phone number
23230,inform,south
19190,thankyou,thank you good bye
20795,negate,no
14167,request,what is the phone number
6234,request,post code
12999,inform,moroccan
20741,reqalts,what about french food
14250,inform,i dont care
17616,negate,no
13203,affirm,yes in the south of town
17549,request,what is the post code
19583,request,the phone number
20415,inform,i dont care
7723,request,address
16126,request,whats the address
2206,reqalts,how about north american food
12924,inform,any
4938,reqalts,what about a moderately priced restaurant
16595,inform,west
8094,negate,no
23391,inform,moderately priced
21472,request,what is the phone number
13560,request,what about the address
8815,request,can i have the phone number
18612,inform,uh im looking for a cheap restaurant
582,thankyou,thank you good bye
15529,inform,im looking for a moderately priced restaurant in the south part of town
84,inform,european food
7557,affirm,yes
22426,inform,im looking for a restaurant in the east part of town that serves world food
17761,reqalts,is there anything else
4946,deny,can you change romanian food to something else
15416,inform,i dont care
19771,affirm,yes
1531,inform,food from thailand
10154,inform,im looking for a moderately priced restaurant in the north part of town
19796,inform,turkish
11346,inform,looking for a moderately priced restaurant in the east part of town
24767,request,address
14944,reqalts,what about chinese food
23164,thankyou,thank you good bye
2393,request,what type of food does it serve
19037,request,whats their address
18742,thankyou,thank you good bye
14521,inform,american
19396,request,phone number
25153,request,okay can i have the phone number and address
6513,inform,indian food
21432,thankyou,thank you good bye
241,inform,brazilian food
4598,affirm,yeah i need um um m
13040,affirm,yes
13305,request,address phone number
12137,inform,i want a basque food restaurant
21292,thankyou,thank you good bye
9260,request,phone number
18334,thankyou,thank you good bye
2512,request,address
15849,inform,indonesian food
16230,inform,chinese food
18374,request,phone number
14662,inform,i need a restaurant in the
20850,thankyou,thank you good bye
22272,thankyou,thank you good bye
1340,thankyou,thank you good bye
17594,request,can i have the address and phone number
15518,inform,east
24204,thankyou,thank you good bye
3096,request,price range
20626,inform,north american food
20717,inform,lebanese food in the center of town
15608,inform,chinese food
19072,affirm,yes
2255,inform,i dont care
13213,inform,i dont care
13607,inform,find a restaurant serving cannabis food
10082,inform,south
11610,request,and the phone number
7323,reqalts,how about european food
6382,inform,okay um chinese then
9704,request,alright whats the phone number
7152,request,address
15790,inform,west part of town
8556,inform,find me vietnamese food
13019,inform,north
23598,request,can i have the phone number
8795,reqalts,how about french
812,request,good whats the address
633,request,phone number
3999,inform,the west side
5585,thankyou,okay um thank you good bye
6867,inform,moderately
24724,inform,im looking for a restaurant in the east part of town
1570,request,do you have the phone number of the address
22662,thankyou,thank you good bye
16866,reqalts,how about vietnamese food
2441,request,whats the price range
19239,request,what is the address and phone number
6354,thankyou,thank you good bye
12476,reqalts,uh how about italian
12539,inform,and asian food
8086,request,can i have their phone number
15378,inform,im looking for restaurants in the east part of town
4695,inform,could i have a restaurant that serves thai food
16851,reqalts,how about chinese food
4704,thankyou,thank you good bye
3019,inform,cheap restaurant
10558,request,price range
5799,request,what is their phone number
12644,inform,im looking for a restaurant in the
11326,thankyou,thank you good bye
686,request,what is the price range
218,inform,expensive
2486,inform,scandinavian
9429,inform,indian
5809,request,what is their address
16645,inform,portuguese food
2073,inform,im looking for a cheap restaurant in the west part of town
2918,thankyou,thank you good bye
16862,request,what is the phone number
10552,thankyou,okay thank you good bye
16989,inform,i want i want indian food
10952,request,what type of food
12160,request,may i have the post code please
21895,inform,id like to find a cheap restaurant serving mexican
8696,request,can i please have the phone number
4897,request,may i get the phone number
23073,request,type of food
470,request,telephone number
12498,inform,moderately priced restaurants
4604,inform,i need asian how bout asian food
2852,inform,south
8912,request,whats the address and phone number
23231,inform,south
20537,inform,im looking for european food
10496,thankyou,thank you good bye
6517,request,can i have the address
2768,inform,id like a cheap italian restaurant
17199,request,can i have their address
14906,request,what is the phone number
11091,request,type of food does it serve
13919,inform,can i have an expensive restaurant
23781,request,phone number
4900,thankyou,thank you
8936,request,price range
1527,inform,i want thai food
5776,inform,thare are different expensive restaurants in the east part of town
15647,request,can i have the phone number
17996,request,address
608,request,address
23772,inform,looking for a restaurant in any area
10724,request,phone number
1358,thankyou,thank you goodbye
19493,request,whats the address
24946,inform,um moderate
17752,request,what is the address
24110,request,and what type of food do they serve
18274,inform,vietnamese
20934,inform,pan asian food
4516,confirm,is it expensive
19703,request,what is their address
20142,reqalts,okay is there any others
19905,reqalts,what about european food
16082,inform,food
16406,inform,turkish food any price range
24142,inform,basque food
14129,affirm,yes in the cheap price range
639,request,address
7151,inform,any
14774,reqalts,how about a different restaurant
11545,thankyou,thank you good bye
21377,request,can i get their phone number
15109,inform,is there mediterranean food
13901,affirm,yes
20043,inform,west part of town
4619,request,and what type of food do they serve at pizza hutt
18760,inform,austallison
6112,reqalts,how about chinese food
351,request,address
2737,request,phone number
6440,inform,japanese food
531,reqalts,how about asian oriental type of food
3043,inform,yea im looking for an expensive restaurant that serves portuguese
15602,request,whats the post code
6103,inform,european food
22948,thankyou,thank you good bye
6498,inform,ok what about indian
4558,request,whats the phone number
20439,inform,north
15580,inform,south
19872,reqalts,is there another restaurant
20400,inform,polynesian food
6261,inform,vietnamese food
16877,request,what is the address
5279,inform,doesnt matter
11778,inform,any price range
2210,request,what is the post code
8966,request,and whats the price range
1923,inform,east
22602,inform,romanian
24896,thankyou,okay that will be all thank you and good bye
15302,inform,belgium
10388,request,curry prince address and phone number
8001,reqalts,how about european food
12039,inform,indian
1273,inform,im looking for a restaurant that serves romanian food
613,inform,dont care
20026,inform,west part of town
11678,negate,no
24314,inform,gastropub type food
4782,inform,moderate price
10220,request,oh whats the phone number
3879,reqalts,is there anything else
626,request,phone number
13412,inform,north american food
21361,inform,it doesnt matter
22197,thankyou,thank you good bye
5403,thankyou,thank you good bye
21680,request,may i have the phone number please
17087,request,how about the phone number
18143,request,the phone number
3951,request,whats the price range
18456,affirm,right that serves italian food
18796,inform,breath i would like port portuguese food
22268,inform,chinese food
6300,inform,any type of food is okay
2470,inform,cheap restaurant
19869,inform,i want a french restaurant that serves expensive food
184,request,phone number
21628,inform,east
7434,thankyou,thank you good bye
2258,inform,im looking for a restaurant in the south part of town that serves greek food
21970,negate,no canapes
22851,reqalts,uh are there any restaurants serving chinese
7954,thankyou,thank you good bye
7272,request,can i get the address phone number
10251,reqalts,what about chinese food
6026,request,and the post code
23861,inform,im looking for a moderately priced restaurant that serves
18192,inform,expensive
25491,inform,expensive restaurant
17335,thankyou,thank you good bye
6432,inform,airatarin
5461,request,and the post code
5697,inform,east
9396,reqalts,anything else
9656,inform,uh restaurant
9405,request,phone number
12713,reqalts,how about indian
5439,thankyou,thank you good bye
5485,request,where is the area
2188,request,what is the post code
17955,inform,food
22936,request,what is the phone number and post code
8832,inform,can i get swedish food
9109,thankyou,thank you good bye
17341,inform,center
20402,inform,portuguese
21713,inform,cheap restaurant welsh food
9411,affirm,yes
2297,inform,moderate price range
9852,inform,expensive restaurant
23685,request,type of food
10401,inform,cheap unintelligible food
6265,inform,turkish food
15784,inform,danish food
1801,inform,um doesnt matter if its in the center of the town
4291,reqalts,how about mediterranean food
18963,request,postcode
8578,request,whats the address
16176,inform,doesnt matter
11052,inform,north
23453,request,whats the phone number
14464,confirm,is it asian oriental
8226,request,address
19697,inform,i dont care
12359,request,okay give me address
19632,inform,thai food
11723,inform,cheap restaurant in west part of town
948,inform,im looking for a moderately priced restaurant in the south part of town
3613,thankyou,thank you good bye
13006,inform,any kind of food
13223,inform,south
6611,reqalts,anything else
18198,inform,i need a restaurant in any area with swedish food
13595,inform,french
8394,affirm,yes
12441,inform,west
5119,request,phone number
1673,thankyou,thank you good bye
1575,inform,its in the south
22433,thankyou,thank you good bye
16113,bye,good bye
15230,request,phone number
24420,affirm,yes
17760,affirm,yes
69,inform,moderately priced north part of town
6402,inform,jamaican
21832,inform,dont care
2142,request,what is the phone number and post code
2966,inform,i want to find a restaurant in the west part of
13086,inform,find me a turkish restaurant
159,inform,expensive
9540,negate,no
3495,inform,food an
14651,request,uh whats the phone number and post code
25436,thankyou,thank you good bye
169,inform,thai food
6947,thankyou,thank you good bye
4643,request,the address
21097,inform,portuguese
12101,request,the area
16794,thankyou,thank you good bye
13036,inform,thai food
4120,reqalts,how about french
3745,inform,doesnt matter
18292,request,what is their phone number
10336,inform,north
24603,thankyou,thank you good bye
17561,inform,cheap price range
23120,request,the address
14894,inform,how bout thai food
18234,inform,i need a restaurant that serves
18681,inform,it doesnt matter
6588,thankyou,thank you good bye
12965,inform,north part of town
14545,inform,mexican food
9920,request,whats the phone number
16955,thankyou,thank you good bye
10547,inform,thai food
11336,thankyou,thank you good bye
20970,reqalts,how about portuguese food
10157,reqalts,how about spanish food
15358,thankyou,thank you good bye
4678,request,can i get the address and phone number
4471,request,address
5902,request,what is the address and phone number
14233,inform,food
11371,thankyou,thank you good bye
13682,thankyou,thank you good bye
20138,affirm,uh yes that serves mediterranean food
1289,reqalts,what about thai
10541,inform,jamaican food
14135,inform,i want a restaurant in the west part of town that serves jamaican
13838,inform,i dont care about the price range
12879,confirm,is it cheap
2241,request,ah could you give me the address
19238,inform,in the east part
15875,request,whats the address
2787,request,whats the phone number and address
18993,request,phone number
8220,inform,moderate
8237,request,phone number
24829,thankyou,thank you good bye
9621,affirm,yea
17464,inform,middle
1754,request,whats the phone number
1336,affirm,uh yes
19417,inform,chinese food
25150,reqalts,are there any other restaurants
20939,inform,i dont care
8817,request,the food of the venue
2766,request,what is the address and phone number
2215,reqalts,is there anything else
74,inform,south
11584,thankyou,tv_noise thank you goodbye
20972,inform,i dont care
23390,inform,any area
20905,inform,north
14426,inform,im looking for gastropub food
20397,request,price range
6404,reqalts,how about korean
7299,inform,serving modern european food
3529,thankyou,thank you goodbye
5973,request,may i have the address and phone number
11055,inform,moderate
22238,affirm,yes
1182,thankyou,thank you good bye
6160,inform,any
437,request,what is the post code
14705,inform,im looking for a moderately priced restaurant in the north part of town
24240,inform,australian food
3145,reqalts,is there anything else
25227,request,post code
16408,request,and the address
20178,request,address
385,thankyou,thank you good bye
17854,request,what is the address
15107,inform,any area
6557,inform,noise anything expensive
6168,inform,dont care
14029,inform,australian
3871,request,whats their post code
746,request,address
20466,inform,city center
8292,thankyou,thank you good bye
13766,inform,vietnamese
1080,inform,oh i dont care
22856,inform,uh looking for a restaurant in the west part of town that serves canapes food
15572,inform,cheap restaurant
11909,request,may i have the address
3452,request,phone number
10018,request,whats the phone number
1302,inform,i want something in the south part of town
12311,request,what is the price range
15092,bye,good bye
2387,inform,north
13850,request,what food is available in the south part of town
16072,inform,moderately priced restaurant in the south of town
22646,thankyou,thank you good bye
14710,thankyou,thank you good bye
9856,reqalts,how about italian food
1010,inform,moderately
21477,reqalts,is there anything else
18708,inform,south
11121,inform,im looking for a cheap restaurant in the north part of town
5230,inform,gastropub
20788,reqalts,what about european
9060,inform,anywhere
16973,thankyou,goodbye thank you
11241,request,phone number
17235,inform,in the south side
22010,request,i need the address phone number and post code
19590,reqalts,how about chinese food
11783,inform,expensive
15970,inform,any type
4260,inform,east part of town
4694,inform,id like a restaurant in the west part of town that serves danish
14910,reqalts,how about an indian restaurant
10469,thankyou,thank you good bye
763,request,can i get the address and phone number
16636,request,what is the address
2420,request,address and phone number
13390,request,and the post code
131,request,and the price range
1436,request,phone number
18089,reqalts,how about portuguese food
17295,inform,lebanese
3917,request,uh what its phone number
14160,request,phone number
12672,request,and the phone number
12410,inform,west
16360,inform,dont care
15332,inform,west
10946,thankyou,thank you goodbye
16411,thankyou,thank you goodbye
16708,inform,polish food
17055,inform,im looking for eritrean food
5162,inform,i want a moderately priced restaurant in the north part of town
14154,reqalts,how about indian food
1202,request,what is the post code
10701,affirm,uh yes im looking for a cheap restaurant in the west part of town
1612,request,phone number
25408,reqalts,how about international
12367,inform,im looking for a restaurant that serves indian food
24360,inform,british
19342,inform,im looking for a cheap restaurant in the east part of town
10274,inform,i dont care
7386,request,address
6279,request,phone number
22992,inform,i dont care
4084,inform,expensive italian
3447,request,address
1164,reqalts,anything else
22276,request,could i have its phone number
11537,inform,any area
21155,thankyou,thank you good bye
4596,request,the address
6868,inform,id like a moderately price
22958,inform,expensive
19340,inform,the east part of town
10262,inform,i need a moderately priced restaurant in the north of town
14242,request,what area of town is it
11184,request,what is the address
11694,request,type of food
21358,request,may i have the phone number and post code
1565,request,can i have the address and phone number
1722,request,how about the address
15064,request,can i have the phone number
1775,request,what is the address
4974,request,what is the price range
21437,inform,moderate
3893,reqalts,is there anything else
12671,request,can i have their address please
4106,thankyou,thank you good bye
10405,inform,cheap unintelligible food
24652,inform,austria asian restaurant in the center of town
10975,affirm,yes
24606,inform,chinese
7086,inform,uh id like steakhouse food
17101,negate,no im looking for eritrean food
11866,thankyou,thank you good bye
17405,reqalts,is there anything else
16661,request,may i have the address please
12519,inform,i want italian food
24354,thankyou,thank you good bye
10222,inform,im looking for a moderately priced restaurant
17483,request,can i get the phone number
14289,request,whats the address and phone number
4338,thankyou,thank you good bye
23097,request,location
6665,request,what is the phone number
12269,inform,dont care
1744,inform,it doesnt matter
19981,inform,vietnamese
24701,thankyou,thank you good bye
16123,request,what is the phone number
3622,request,phone number
5832,thankyou,thank you good bye
25282,inform,i need a cheap restaurant that serves christmas food
20702,inform,chineese
16685,inform,polynesian food
5199,inform,i would like a cheap restaurant in the west part of town
11431,reqalts,is there anything else
9067,inform,british food
19931,thankyou,okay thank you
8006,inform,okay i dont care about price range
15753,thankyou,thank you good bye
16679,inform,food
11108,request,whats the phone number
12107,request,what kind of food
15983,inform,moderately priced
1104,request,and the phone number
13353,thankyou,thank you good
23280,inform,dont care
8252,inform,malaysian food
13121,negate,no how about vietnamese
23892,inform,im looking for an expensive restaurant that serves korean
13375,inform,im looking for a cheap restaurant that serves swedish food
21910,reqalts,how about asian oriental food
14269,request,type of food
16932,request,address
13276,request,can i get the address and phone number please
15340,request,whats the phone number
15600,request,whats the address
16768,hello,halo
21128,request,and the area
1101,reqalts,do you have another
13840,inform,asian oriental
11365,affirm,yes
21829,request,phone number
9393,inform,expensive
21337,request,phone number
3262,reqalts,another please
18781,affirm,yes
869,request,how much
18013,inform,north american food
8595,request,whats the address
956,reqalts,are there any other restaurants
18204,inform,id like a cheap restaurant in the south part of town
13324,request,phone number
17903,thankyou,thank you good bye
24740,thankyou,thank you good bye
5984,negate,what no
12616,reqalts,whats the next one
1389,inform,dont care
5612,reqalts,is there anything else
23574,request,the price range
12237,inform,moderately priced restaurant
9346,bye,good bye
751,thankyou,thank you good bye
185,request,phone number
11096,inform,im looking for a moderately priced restaurant in the west part of town
9175,inform,expensive
22245,request,whats their address
15669,request,whats the phone number talking
10103,request,what area is it in
14629,thankyou,thank you good bye
19221,request,what is the type of food
18979,inform,east part of town
4800,inform,a moderately priced restaurant
18752,inform,east
5920,thankyou,thank you good bye
4322,reqalts,how about gastropub type of food
24309,inform,gastropub type food noise
23207,affirm,right
4589,inform,can i have it in any price range
17941,reqalts,is there anything else
11007,inform,spanish food
17948,request,can i have the address and the price range
3444,inform,south part of town
12889,request,and what type of food is it
383,inform,oriental
22220,inform,it doesnt matter
19418,affirm,yes
16036,inform,south
4606,inform,i need asian food
4066,inform,welsh food
9435,request,phone number
1899,thankyou,thank you good bye
15709,affirm,yes in the east part of town
13434,inform,mediterranean food
11725,request,phone number
21084,thankyou,thank you good bye
20776,request,whats the address
22112,thankyou,thank you good bye
9012,request,phone number
7358,reqalts,how about any price range
2789,inform,id like a restaurant in any area that serves japanese food
16864,inform,id like to find a restaurant serving crossover food
3527,inform,north
17611,inform,vegetarian food
1071,request,and whats the post code
25451,reqalts,what about portuguese food
24967,inform,uh it doesnt matter
969,inform,im looking for a cheap restaurant in the east part of town
3362,request,what is the phone number
11124,thankyou,thank you goodbye
22550,reqalts,how about british type of food
16327,inform,i want to find a restaurant in the north part of town that serves italian food
19598,inform,cheap
2193,inform,i dont care about the price range
18837,request,what is the address
24451,inform,doesnt matter
18513,reqalts,is there anything else
6889,inform,id like to find an expensive restaurant
5163,request,the address phone number and post code
2480,inform,european
16244,inform,food type
18616,request,can i have the address and post code
6051,inform,i am looking for a modern european food
905,thankyou,thank you good bye
23481,request,may i have the address and area
13709,bye,okay thank you and good bye
24179,affirm,yea
6344,reqalts,is there anything else
17599,negate,no
16891,reqalts,next
17946,inform,looking for a restaurant in the north part of town and it should serve korean food
24374,request,whats the address
4057,thankyou,thank you good bye
17840,affirm,yes
16522,request,may i have the address
22280,inform,unusal
3485,request,what is the area
24343,inform,i dont care
6313,thankyou,thank you good bye
19019,inform,im looking for a cheap restaurant that serves vietnamese food
13286,inform,doesnt matter
20156,request,okay can i get the address
13144,request,and the phone number
18113,inform,the food
15576,request,whats their address
13917,request,can i have the phone number
20185,thankyou,thank you good bye
18774,inform,any
1220,inform,i want french food
3109,request,type of food
22094,inform,i am looking for a moderately priced restaurant in the west part of town
21647,reqalts,anything else
13665,request,address
16421,inform,i need to know if there are any restaurants serving turkish food
9338,request,phone number
16562,affirm,yes
6512,request,location
18451,request,phone number
15811,inform,food
24922,request,what type of food does it serve
21626,inform,cheap restaurant
18083,thankyou,thank you
21301,inform,north
16167,bye,good bye
20130,restart,uh start over
6975,bye,good bye
16620,inform,turkish type food
11754,request,whats the address and phone number
1184,inform,turkish
14619,request,type of food does pizza hut serve
2378,inform,i would like to find a restaurant in the north part of town
8241,inform,north
3223,inform,that serves cuban food
47,inform,looking for a cheap restaurant that serves spanish food
22056,inform,in the west part
16892,reqalts,next
12810,affirm,yes
1822,inform,tha thai
11401,inform,can i get a moderate restaurant in the south part of town
22962,request,does it serve
24697,inform,i want a restaurant that serves portuguese food
3566,request,what is the phone number
2986,thankyou,thank you good bye
9718,thankyou,thank you
4265,inform,cheap restaurant
14751,request,and the phone number
13054,inform,looking for an expensive restaurant that serves
4252,inform,vietnamese food
10229,inform,i need a restaurant in the center of town that includes international food
23738,inform,next restaurant
12865,affirm,yes
1026,inform,cheap
5808,request,what type of food does the missing sock serve
15739,inform,romanian food
5070,request,price range
15140,inform,okay uh how bout british food
6035,bye,okay thank you and good bye
24614,inform,french noise
1186,request,the post code as well please
13834,request,may i have the phone number
13930,request,and whats the phone number
7471,affirm,um yes
4266,inform,german food
6722,request,and mail postal code
14567,request,post code
16602,inform,singaporean
11903,thankyou,thank you good bye
23417,reqalts,anything else
13062,inform,any
13317,thankyou,thank you good bye
24688,request,what is the address
14105,inform,just give me a cheap restaurant
1370,thankyou,thank you good bye
23579,inform,unintelligible i dont care
21438,inform,moderately price
2700,inform,cheap
8517,inform,west
5862,request,area
6391,request,what is the addre
20018,thankyou,thank you good bye
3165,request,and whats the address
3803,inform,i am looking for asian oriental type food
7160,inform,dont care
22159,thankyou,thank you good bye
15658,reqalts,what about indian food
19825,inform,chinese food
22381,request,whats the phone number
13782,thankyou,thank you good bye
5851,inform,vietnamese food
25492,inform,south
23038,inform,spanish
8337,inform,im looking for a restaurant in any area and it should serve pan asian food
15422,inform,corsica food
4485,inform,spanish
4798,request,price range
12067,reqalts,is there anything else
18581,inform,expensive
6774,inform,system european food
13759,inform,any part
1043,inform,european food
5869,request,what is the price range
17950,affirm,yes please can i have the address and the price range of the restaurant please
1477,request,address
3213,thankyou,thank you goodbye
20966,inform,north american food
16186,inform,asian oriental food
3908,inform,greek
14704,thankyou,thank you goodbye
8708,inform,mediterranean
4138,request,okay whats the address
11845,thankyou,thank you good bye
3377,thankyou,thank you good bye
9513,request,address
9425,request,address
11183,inform,i dont care
14506,request,whats the address
8677,request,what is the address and phone number
4891,request,whats the phone number
21568,request,may i have the phone number
5040,inform,east part of town
13828,bye,good bye
12004,inform,im looking for an indian restaurant in the
15854,inform,east
12360,request,phone number
18886,thankyou,thank you good bye
20243,affirm,yes
13562,inform,i need a restaurant in the north
18856,inform,looking for a moderately priced restaurant that serves tuscan food
22569,inform,im looking for a restaurant serving polish food
18635,inform,can i have a restaurant in the center
13201,thankyou,thank you goodbye
23838,request,whats the phone number
19822,inform,moderately priced
1536,request,address
2507,request,address
2562,request,whats the phone number
3747,reqalts,how about french
118,reqalts,how about north american
55,thankyou,thank you good bye
4309,request,whats the phone number
7819,thankyou,thank you good bye
22060,thankyou,thank you
1856,inform,moderately priced restaurant in the north part of town
13322,affirm,yes expensive
16796,inform,restaurant in the east part of town
11115,inform,an expensive restaurant
4152,inform,im looking for a moderately priced restaurant in the west part of town
15924,inform,a cheap restaurant and it should be in the west part of town
6865,inform,north part of town
4268,request,address
23939,inform,dont care
16445,affirm,yes
24405,inform,dont care
24489,thankyou,thank you good bye
2373,inform,uh chinese
21119,inform,east of town
17589,reqalts,how about asian oriental type of food
16447,request,could i have the address and phone number
8225,reqalts,anything else
16014,inform,i dont care
19646,request,kind of food do they serve
512,reqalts,anything else
16215,inform,cheap
5952,inform,spanish
12556,inform,i am looking for kitalian food
20318,thankyou,okay thank you good bye
4663,thankyou,thank you goodbye
23785,inform,cheap
4180,request,what is the phone number
13669,repeat,again
1004,inform,turkish
18188,affirm,yes
23971,inform,french food
15925,inform,any
16640,reqalts,how about portuguese food
18992,request,address
2481,inform,south
9430,inform,doesnt matter
8996,reqalts,how about chinese food
23370,request,where is it
24286,inform,danish
21405,thankyou,thank you good bye
21533,thankyou,thank you
13017,thankyou,thank you good bye
20815,request,what area is it in
23687,inform,restaurant in the center serving persian food
6315,inform,catalan
2468,request,can i have the address and postal code
18493,inform,vietnamese food
21080,request,let me get the address
13589,inform,east
9271,inform,canapes
13152,request,the phone number
17061,inform,dont care
5907,inform,im looking for french food
12129,inform,i want a restaurant serving
15047,request,what type of food
8062,affirm,right
7895,inform,im looking for an expensive restaurant serving malaysian food
18341,thankyou,thank you good bye
13043,thankyou,thank you good bye
13204,inform,cheap
14652,thankyou,thank you good bye
23984,inform,i want to find a expensive restaurant that serves mediterranean
3825,thankyou,thank you good bye
18688,thankyou,thank you good bye
17953,inform,im looking an expensive dr expensive restaurant that serves canapes food
12326,inform,south
9949,inform,noise looking for an expensive restaurant
14647,request,uh whats the address and the phone number
5958,inform,indian food
12574,inform,im looking for corsica food
1571,thankyou,thank you good bye
19742,negate,no i would like a cuban restaurant
18170,inform,west
9549,inform,i would like a cheap restaurant in the north part of town
8670,request,what is the phone number
850,inform,scandinavian food
18735,inform,asian oriental
17217,request,and a phone number
10514,inform,i dont care
10568,inform,vietnamese
24935,inform,center
17098,inform,eritrean food
17557,inform,i am looking for a cheap restaurant in the north part of town
3981,inform,are there any cantonese restaurants
15137,bye,okay thank you and good bye
17348,inform,vietnamese food
17512,negate,no singaporean
14680,thankyou,thank you good bye
23257,request,what is their phone number
22900,inform,north part of town
24404,negate,no
12860,request,phone number
16512,inform,moderate
21744,request,address
7963,request,what is the phone number and address
22727,affirm,yes
20272,thankyou,thank you good bye
9586,request,what is the address and phone number
23512,ack,good
11320,inform,vietnamese food
23122,affirm,yeah im in the west part of town and im looking for some vietnamese
20677,thankyou,thank you goodbye
20449,affirm,yes
10611,thankyou,thank you good bye
11819,inform,mediterranean food
111,thankyou,thank you good bye
3509,thankyou,thank you good bye
12705,inform,doesnt matter
