,dialog_act,utterance_content
155,request,and the phone number
156,thankyou,thank you good bye
157,inform,i need a restaurant in the west part of town
158,inform,uh it doesnt matter
159,inform,expensive
160,inform,japanese
161,inform,italian
162,inform,cheap
163,null,okay
164,inform,west
165,inform,moderate
166,request,phone number
167,thankyou,thank you good bye
168,inform,caribbean food
169,inform,thai food
170,inform,west part of town
171,inform,thai food
172,inform,thai
173,request,price range
174,request,phone number
175,request,address
176,request,address
177,thankyou,thank you good bye
178,inform,venetian
179,inform,center
180,inform,vegetarian
181,inform,asian oriental
182,request,phone number
183,request,phone
184,request,phone number
185,request,phone number
186,thankyou,thank you good bye
187,inform,expensive restaurant that serves vegetarian food
188,thankyou,thanks us
189,inform,vegetarian food
190,inform,asian oriental type of food
191,inform,expensive restaurant asian food
192,request,what is the phone number
193,request,and the area
194,thankyou,thank you good bye
195,null,noise
196,null,unintelligible
197,inform,looking for moderately priced restaurant that serves creative food
198,reqalts,how about british food
199,reqalts,how about creative food
200,reqalts,how about creative food
201,inform,and british food
202,request,what is the telephone number
203,thankyou,thank you good bye
204,null,unintelligible
205,inform,looking for welsh food
206,reqalts,how about french food
207,reqalts,anything else
208,request,what is the phone number
209,thankyou,thank you
210,bye,good bye
211,inform,i want to find an expensive restaurant
212,null,noise
213,inform,any part
214,inform,it should serve french food
215,request,what is the phone number
216,thankyou,thank you good bye
217,inform,expensive restaurant east part of town
218,inform,expensive
219,inform,any
220,request,address
221,bye,good bye
222,null,noise
223,inform,cheap restaurant in the east part of town
224,request,phone number
225,null,noise
226,request,phone number
227,bye,good bye
228,inform,find australian restaurant in north part of town
229,inform,find indian restaurant in north of town
230,request,the price range
231,request,what is the address and phone number
232,thankyou,thank you good bye
233,inform,find restaurant in north part of town serving asian food
234,inform,doesnt matter
235,inform,doesnt matter
236,request,what is the address and phone number
237,null,cough
238,request,what is the address
239,thankyou,thank you good bye
240,inform,moderate price
241,inform,brazilian food
242,inform,gastropub
243,request,address
244,request,phone number
245,request,area
246,request,what is the are
247,request,location
248,thankyou,thank you good bye
249,inform,cheap restaurant south part of town
250,request,address
251,request,phone number
252,thankyou,thank you goodbye
253,inform,moderately priced west part of town
254,request,phone number
255,request,address
256,thankyou,thank you good bye
257,inform,unintelligible irish food
258,inform,irish
259,inform,irish fdod
260,inform,irish food
261,inform,irish food
262,inform,modern european
263,request,address
264,request,phone number
265,thankyou,thank you good bye
266,inform,moderately
267,request,price
268,inform,west
269,request,address
270,request,address
271,request,can i have the address
272,request,phone number
273,request,post code
274,thankyou,thank you good bye
275,inform,im looking for a restaurant in the south part of town
276,inform,polynesian
277,inform,italian
278,request,phone number
279,request,post code
280,thankyou,thank you good bye
281,inform,expensive
282,inform,any
283,inform,corsica
284,inform,thai
285,inform,thai
286,inform,thai
287,inform,thai food
288,inform,thai food
289,inform,thai food
290,inform,thai
291,null,noise
292,inform,thai food
293,inform,thai food
294,inform,thai food
295,inform,thai food
296,inform,thai food
297,inform,thai food
298,inform,thai
299,inform,thai
300,inform,thai thai
301,request,address
302,request,phone number
303,thankyou,thank you good bye
304,inform,moderately
305,inform,any
306,inform,moderately
307,inform,moderately
308,inform,south
309,inform,moderately
310,request,address
311,request,phone number
312,thankyou,thank you good bye
313,null,unintelligible
314,null,unintelligible
315,null,unintelligible
316,inform,indian food
317,request,address
318,request,phone number
319,request,price range
320,thankyou,thank you good bye
321,inform,restaurant north
322,inform,welsh food
323,inform,asian oriental
324,request,address
325,request,phone number
326,thankyou,thank you good bye
327,inform,i need to find an expensive restaurant in the south part of town
328,inform,i dont care
329,reqalts,is there anything else
330,request,can i get the address
331,request,and what is their phone number
332,null,sil
333,null,and can
334,request,can i get their post code
335,thankyou,thank you good bye
336,null,sil
337,inform,british food in north part of town
338,inform,indian food
339,thankyou,thank you
340,inform,indian
341,thankyou,thank you
342,null,sil
343,ack,great day unintelligible
344,null,unintelligible
345,inform,indian food
346,null,unintelligible
347,inform,just fuck every time i do it and this moron says that its indian sucks
348,inform,indian food
349,inform,want indian food
350,request,address phone number prices
351,request,address
352,request,price range
353,thankyou,thank you
354,thankyou,thank you goodbye
355,inform,moderately priced in the south part of town
356,inform,any
357,inform,south
358,reqalts,anything else
359,reqalts,anything elses
360,reqalts,another
361,inform,dont care
362,inform,um do not care
363,inform,i dont care bye
364,null,sil
365,request,phone number
366,inform,south part of town
367,request,address
368,thankyou,thank you good bye
369,inform,i would like afghan food
370,inform,expensive
371,inform,any
372,inform,afghan food
373,inform,asian food
374,inform,i dont care
375,inform,i dont care
376,inform,dont care
377,null,sil
378,reqalts,another
379,inform,food
380,inform,asian oriental
381,inform,asian
382,inform,oriental
383,inform,oriental
384,inform,oriental
385,thankyou,thank you good bye
386,inform,oriental
387,inform,asian
388,thankyou,thank you good bye
389,request,phone number
390,null,carrier
391,request,area
392,request,what area
393,inform,asian oriental
394,request,phone number
395,thankyou,thank you good bye
396,null,sil
397,thankyou,thank you
398,bye,good bye
399,null,unintelligible
400,inform,cantonese food
401,inform,british food
402,inform,west
403,thankyou,thank you good bye
404,null,noise
405,inform,east
406,inform,east
407,inform,moderately priced
408,reqalts,anything else
409,thankyou,thank you good bye
410,affirm,yes i would like portuguese food
411,request,can i get the address and phone number
412,thankyou,thank you good bye
413,inform,i want a cheap restaurant that serves european food
414,reqalts,how about vietnamese food
415,request,whats their phone number
416,thankyou,thank you good bye
417,inform,i need a cheap restaurant serving italian food
418,inform,i dont care
419,request,could i get the address
420,thankyou,thank you bye
421,inform,i need restaurant serves spanish food
422,request,whats the phone number
423,thankyou,thank you good bye
424,inform,can i have a british restaurant in the east please
425,inform,east
426,inform,moderate
427,inform,east
428,request,can i have the address
429,thankyou,thank you good bye
430,null,sil
431,null,i want
432,inform,i want to find a restaurant in the center
433,confirm,does it serve fusion food
434,inform,i want fusion food
435,reqalts,how about european food
436,request,what is the phone number
437,request,what is the post code
438,null,unintelligible
439,null,noise
440,request,what is the post code
441,bye,good bye
442,inform,im looking for a restaurant in the north part of town
443,inform,i dont care
444,inform,australian
445,reqalts,how about asian oriental
446,reqalts,how about asian oriental
447,request,what is the address
448,request,what is the phone number
449,thankyou,thank you good bye
450,null,sil
451,inform,i dont care
452,inform,im looking for a restaurant in the center of town
453,inform,im looking for traditional food
454,reqalts,how about turkish food
455,request,what is the address
456,request,what is the price range
457,thankyou,thank you good bye
458,null,noise
459,null,unintelligible
460,inform,dont care
461,inform,moderately priced
462,inform,chinese food
463,request,address
464,request,telephone number
465,thankyou,thank you good bye
466,inform,center
467,inform,center
468,inform,italian
469,inform,italian food
470,request,telephone number
471,request,price range
472,request,price
473,request,price range
474,request,phone number
475,thankyou,thank you good bye
476,inform,japanese
477,inform,japanese
478,inform,in the center
479,request,and the address
480,request,address
481,request,address
482,request,the address
483,inform,in the center
484,request,phone
485,request,phone
486,thankyou,thank you good bye
487,inform,um moderate
488,null,unintelligible
489,inform,west
490,request,phone number
491,request,address
492,request,phone number
493,null,sil
494,request,phone number
495,request,address
496,request,type of food
497,thankyou,thank you good bye
498,inform,moderately priced restaurant
499,inform,any
500,inform,south
501,thankyou,thank you good bye
502,inform,im looking for a moderately priced restaurant in the east part of town
503,request,can i get the address
504,request,can i get the phone number
505,thankyou,thank you good bye
506,inform,im looking for a cheap restaurant that serves portuguese food
507,request,whats the phone number
508,request,whats the area
509,thankyou,thank you good bye
510,inform,moderately priced
511,inform,indian food
512,reqalts,anything else
513,reqalts,anything else
514,reqalts,is there anyone else
515,request,phone number
516,thankyou,thank you good bye
517,inform,traditional food
518,inform,traditional
519,inform,spanish food
520,inform,spanish
521,inform,food
522,request,address
523,request,price range
524,thankyou,thank you good bye
525,inform,moderately
526,inform,moderate
527,inform,dont care
528,null,i want
529,hello,hello
530,hello,serve hello food
531,reqalts,how about asian oriental type of food
532,request,price range
533,request,price range
534,request,phone number
535,request,address
536,request,address
537,request,whats the address
538,bye,good bye
539,negate,no
540,thankyou,thank you good bye
541,inform,cheap restaurant
542,inform,european
543,thankyou,thank you good bye
544,inform,restaurant in the north part of town that serves turkish food
545,inform,asian oriental type of food
546,request,what is the address
547,request,what is the phone number
548,thankyou,thank you good bye
549,inform,expensive mediterranean food
550,inform,expensive
551,inform,i dont care
552,inform,mediterranean food
553,request,what kind of food do they serve
554,inform,mediterranean food
555,reqalts,is there anything else
556,request,what is the price range
557,request,what is the address
558,request,what is the phone number
559,request,what area is it in
560,thankyou,thank you good bye
561,inform,expensive restaurant
562,inform,expensive
563,inform,south part of town
564,request,what price range
565,request,expensive price range
566,inform,is there any expensive restaurant
567,request,what is the address
568,thankyou,thank you good bye
569,inform,cheap restaurant in the north
570,request,what is the phone number
571,thankyou,thank you good bye
572,inform,expensive restaurant in the east
573,inform,i dont care
574,request,where is the phone number
575,thankyou,thank you goodbye
576,inform,mexican food
577,inform,mexican
578,affirm,yes
579,request,price range address phone number
580,request,address
581,request,phone number
582,thankyou,thank you good bye
583,inform,mexican food
584,inform,mexican food
585,request,phone number
586,thankyou,thank you good bye
587,inform,south part of town
588,inform,expensive
589,reqalts,anything else
590,reqalts,anything else
591,request,address
592,request,phone number
593,request,type of food
594,thankyou,thank you good bye
595,null,sil
596,inform,japanese food
597,null,spice
598,request,address
599,request,phone number
600,request,phone number
601,request,address
602,request,post code
603,thankyou,thank you good bye
604,thankyou,thank you good bye
605,thankyou,thank you good bye
606,inform,thai
607,inform,west
608,request,address
609,request,phone number
610,request,post code
611,thankyou,thank you good bye
612,inform,north part of town
613,inform,dont care
614,inform,christmas food
615,null,sil
616,inform,asian food
617,inform,asian oriental
618,request,address
619,request,address
620,request,phone number
621,thankyou,thank you goodbye
622,inform,restaurant in the west part of town
623,inform,west
624,inform,welch food
625,inform,british food
626,request,phone number
627,request,address
628,request,price range
629,thankyou,thank you goodbye
630,inform,cheap restaurant
631,inform,indian food
632,request,address
633,request,phone number
634,request,phone number
635,request,phone number
636,thankyou,thank you good bye
637,inform,gastropub
638,inform,dont care
639,request,address
640,request,address
641,thankyou,thank you good bye
642,null,sil
643,inform,east
644,inform,east
645,inform,cheap
646,request,phone number
647,request,address
648,thankyou,thank you good bye
649,inform,im looking for a moderately priced restaurant in the west part of town
650,request,whats the address
651,reqalts,is there anything else
652,request,whats the address
653,request,phone number
654,request,and the type of food they serve
655,request,wha what type of food
656,thankyou,thank you good bye
657,null,sil
658,null,sil
659,inform,moroccan
660,null,noise
661,null,noise
662,null,noise
663,inform,moroccan food
664,null,noise
665,null,noise
666,null,noise
667,null,what is it by
668,inform,id like to find a restaurant serving french food
669,reqalts,is there anything else
670,null,im sorry
671,reqalts,is there anything else
672,reqalts,is there anything else
673,request,what is the address
674,bye,thanks good bye
675,thankyou,thank you good bye
676,inform,id like to find a restaurant in any area serving mediterranean food
677,inform,mediterranean food
678,confirm,does it serve mediterranean food
679,request,what is the phone number
680,thankyou,thank you good bye
681,inform,id like a restaurant in the north part of town serving swiss food
682,inform,id like a restaurant in the north part of town serving indian food
683,inform,id like a restaurant in the north part of town serving indian food
684,inform,id like an indian restaurant
685,request,what is the address phone number and price range
686,request,what is the price range
687,thankyou,thank you good bye
688,inform,im looking for a restaurant in north part of town serving austrian food
689,reqalts,how about an indian restaurant
690,reqalts,what about indian
691,request,what is the address and phone number
692,request,what is the price range
693,thankyou,thank you good bye
694,inform,im looking for a restaurant in the center of town serving german food
695,reqalts,how about international food
696,request,what is the phone number and price range
697,bye,unintelligible good bye
698,inform,im looking for a expensive restaurant serving mediterranean food
699,request,what is the phone number and post code
700,thankyou,thank you good bye
701,inform,im looking for an expensive restaurant that serves belgium food
702,reqalts,what about european food
703,request,what is the address
704,request,what is the phone number
705,request,what is the area
706,thankyou,thank you good bye
707,inform,im looking for a moderately priced restaurant in the north part of town
708,request,what is the phone number
709,thankyou,thank you goodbye
710,inform,i want to find a restaurant that serves french food
711,inform,i dont care about the price range what is the address
712,thankyou,thank you good bye
713,inform,im looking for a restaurant in the center of town that serves thai food
714,inform,doesnt matter
715,inform,thai food
716,request,what is the phone number
717,request,what is the address
718,thankyou,thank you good bye
719,inform,im looking for a moderately priced restaurant in the east part of town
720,request,what is the address
721,thankyou,thank you good bye
722,inform,expensive restaurant in the south
723,inform,any
724,inform,south
725,inform,expensive
726,inform,would like expensive
727,inform,south part of town
728,inform,south
729,request,phone number
730,inform,south area
731,inform,south part of town
732,inform,dont care
733,inform,north
734,inform,south
735,inform,west
736,reqalts,other
737,inform,west
738,inform,i dont care
739,inform,south
740,thankyou,thank you goodbye noise
741,request,address
742,inform,south
743,thankyou,thank you goodbye
744,inform,cheap restaurant in the north
745,inform,cheap
746,request,address
747,request,phone number
748,request,type of food
749,thankyou,thank you
750,bye,bye
751,thankyou,thank you good bye
752,inform,expensive french food
753,inform,any
754,inform,french food
755,inform,expensive
756,inform,expensive
757,reqalts,anything else
758,inform,expensive
759,request,phone number
760,thankyou,thank you good bye
761,inform,im looking for a restaurant in the north part of town
762,inform,moderate price range
763,request,can i get the address and phone number
764,thankyou,okay thank you good bye
765,inform,a cheap restaurant in the south part of town
766,negate,no is there anything else
767,request,whats the phone number
768,bye,alright good bye thank you
769,reqalts,is there anything that serves caribbean food
770,inform,i need an expensive restaurant that serves french food
771,request,whats the phone number
772,thankyou,thank you good bye
773,reqalts,are there any restaurants that serve english food
774,reqalts,how about european food
775,confirm,is it moderately priced
776,affirm,uh yes
777,request,whats the price range
778,inform,i need a moderately priced restaurant
779,request,whats the address
780,request,um kay whats the post code
781,thankyou,thank you good bye
782,inform,moderately priced restaurant north part of town
783,request,address and phone number
784,request,phone number
785,request,post code
786,thankyou,thank you good bye
787,inform,i want a cheap restaurant in the west part of town
788,null,noise
789,null,noise
790,inform,im looking for a cheap restaurant in the west part of town
791,request,can i get the phone number and address
792,thankyou,thank you good bye
793,inform,i am looking for an expensive restaurant that serves australian food
794,inform,i am looking for an expensive restaurant that serves australian food
795,affirm,ye
796,reqalts,how about asian oriental food
797,request,what is the area
798,request,what is the phone number a
799,request,what is the area of the venue
800,thankyou,thank you goodbye
801,inform,an expensive restaurant in the south part of town
802,inform,doesnt matter
803,request,sounds good whats the address
804,request,how about the phone number
805,thankyou,thank you goodbye
806,inform,looking for something with gastropub on the east side of town
807,inform,gastropub
808,request,good whats the address
809,request,cool give me that phone number
810,thankyou,thank you good bye
811,inform,looking for something moderately priced on the north side of town
812,request,good whats the address
813,request,whats the phone number
814,thankyou,thank you good bye
815,inform,looking for caribbean food
816,reqalts,how about indian food
817,affirm,yea i want indian food
818,inform,i dont care but i want it to be in the east part of town
819,request,cool whats the phone number
820,request,okay how about the address
821,thankyou,awesome thank you good bye
822,inform,looking for a moderately priced restaurant in the east part of town
823,request,whats the address
824,thankyou,thank you good bye
825,thankyou,thank you good bye
826,inform,i want a cheap restaurant in the north part of town
827,request,can i have their phone number
828,request,and the post code
829,thankyou,thank you good bye
830,inform,i would like a restaurant
831,null,that serves unintelligible
832,inform,belgian food
833,reqalts,how about korean food
834,inform,korean
835,reqalts,what about korean food
836,reqalts,what about korean
837,inform,are they expensive
838,request,whats their address
839,request,and their phone number
840,request,and what area of town are they
841,thankyou,thank you good bye
842,inform,i want a cheap restaurant that serves cuban food
843,reqalts,how about chinese
844,confirm,is it chinese food
845,affirm,yes that serves chinese food
846,request,whats their address
847,request,and their phone number
848,thankyou,thank you good bye
849,inform,im looking for a restaurant that serves scandinavian food
850,inform,scandinavian food
851,reqalts,how about a restaurant that serves french food
852,inform,restaurant in any area
853,request,my i have the phone number
854,thankyou,thank you good bye
855,inform,im looking for something in the west side
856,inform,doesnt matter as long as it is moderately priced
857,request,can i have the address of it
858,request,whats its phone number
859,thankyou,thank you
860,bye,goodbye
861,inform,im looking for a cheap vietnamese restaurant
862,null,sil
863,inform,im looking for a vietnamese restaurant
864,request,whats its phone number
865,null,sil
866,inform,any
867,inform,moderate
868,inform,any
869,request,how much
870,inform,im looking for a cheap restaurant
871,request,whats its address
872,request,may i have its phone number
873,thankyou,thank you good bye
874,inform,restaurant
875,inform,any
876,inform,traditional food
877,inform,italian food
878,inform,italian food
879,inform,cheap
880,request,address
881,request,phone number
882,thankyou,thank you good bye
883,inform,expensive restaurant in the east part of town
884,inform,east
885,inform,expensive
886,request,address
887,thankyou,thank you good bye
888,inform,im looking for a restaurant in the north part of town that serves thai food
889,inform,thai
890,confirm,is it in the north part of town
891,inform,north part of town
892,inform,how about in the west area
893,inform,is there one in the west area
894,reqalts,how about west
895,reqalts,how about the west area
896,thankyou,thank you good bye
897,inform,i want to find a moderately priced restaurant that serves vietnamese food
898,inform,any noise
899,inform,any
900,request,whats the address
901,thankyou,thank you goodbye
902,inform,cheap restaurant
903,inform,west part of town
904,request,what is the address and phone number
905,thankyou,thank you good bye
906,thankyou,thank you good bye
907,null,noise
908,inform,expensive restaurant south part of town
909,null,um
910,request,whats the address and phone number
911,confirm,is it expensive
912,thankyou,thank you good bye
913,inform,christmas food west of town
914,inform,christmas food
915,reqalts,what about british food
916,request,whats the address
917,request,phone number
918,request,price range
919,request,whats the price range
920,thankyou,thank you good bye
921,null,noise
922,inform,polynesian food east of town
923,reqalts,what about indian
924,inform,in the east of town
925,request,whats the address
926,request,phone number
927,thankyou,thank you good bye
928,inform,cheap italian
929,inform,any
930,request,address
931,thankyou,thank you good bye
932,inform,japanese food
933,inform,moderate price range
934,inform,asian oriental
935,request,address
936,request,phone number
937,thankyou,thank you good bye
938,inform,portuguese food
939,inform,cheap restaurant portuguese
940,request,address
941,request,phone number
942,request,area
943,thankyou,thank you good bye
944,inform,im looking for a moderately priced restaurant in the east part of town
945,request,whats the address
946,request,what type of food
947,thankyou,thank you good bye
948,inform,im looking for a moderately priced restaurant in the south part of town
949,repeat,repeat that
950,request,whats the address
951,request,and the phone number
952,thankyou,thank you good bye
953,hello,hi i want to find a moderately priced restaurant in the north part of town
954,reqalts,i hate golden wok is there anything else
955,affirm,yes
956,reqalts,are there any other restaurants
957,request,great whats the address
958,request,whats the type of food they serve
959,request,what type of food is it
960,thankyou,alright thank you bye
961,inform,im looking for a restaurant in the center and it should serve traditional food
962,inform,traditional food
963,reqalts,how about turkish
964,thankyou,thank you good bye
965,inform,im looking for an expensive restaurant that serves venetian food
966,inform,turkish food
967,request,can i get the address
968,thankyou,thank you good bye
969,inform,im looking for a cheap restaurant in the east part of town
970,request,can i get the phone number and address
971,thankyou,thank you good bye
972,inform,im looking for an expensive restaurant that serves european food
973,null,can i get the
974,request,phone number and address
975,thankyou,thank you good bye
976,inform,i want a restaurant in the center
977,inform,the center
978,inform,i want english food in the center of town
979,inform,is there mediterranean food
980,request,what is the address
981,request,what is the address
982,request,what is the phone number
983,thankyou,thank you good bye
984,inform,i want a restaurant
985,null,that serves
986,inform,i want a restaurant that serves cantonese food
987,reqalts,how about north american food
988,inform,north american
989,inform,north american food
990,request,what is the address
991,request,what is the phone number
992,request,what is the price range
993,thankyou,thank you good bye
994,inform,i want a moderately priced restaurant in the north town
995,request,what is the address
996,request,what is the phone number
997,thankyou,thank you good bye
998,inform,im looking for a moderately priced restaurant in the north part of town
999,request,what is the phone number
1000,request,what is the type of food
1001,request,what type of food
1002,thankyou,thank you good bye
1003,inform,im looking for an expensive restaurant serving turkish food
1004,inform,turkish
1005,request,what is the post code
1006,thankyou,thank you good bye
1007,inform,moderately
1008,inform,restaurant
1009,inform,moderately priced restaurant
1010,inform,moderately
1011,null,priced
1012,inform,north part of town
1013,request,address
1014,request,address
1015,request,address
1016,thankyou,thank you good bye
1017,inform,south part of town italian food
1018,inform,cheap
1019,request,address
1020,request,address
1021,request,address
1022,null,breathing
1023,request,postal code
1024,thankyou,thank you good bye
1025,inform,spanish food
1026,inform,cheap
1027,request,address
1028,request,address
1029,request,phone number
1030,inform,spanish food
1031,thankyou,noise thank you goodbye
1032,inform,expensive restaurant
1033,inform,catalan
1034,inform,any
1035,request,address
1036,request,address
1037,request,phone number
1038,request,phone number
1039,request,area
1040,request,area
1041,thankyou,thank you good bye
1042,inform,irish food
1043,inform,european food
1044,inform,any
1045,inform,any
1046,request,address
1047,request,post number
1048,thankyou,thank you good bye
1049,inform,swiss food
1050,inform,any
1051,request,address
1052,request,address
1053,thankyou,thank you good bye
1054,inform,im looking for a korean restaurant
1055,inform,korean restaurant
1056,request,whats the address
1057,request,phone number
1058,request,whats the post code
1059,thankyou,thank you good bye
1060,inform,i want a restaurant that serves creative food
1061,reqalts,how about north american type of food
1062,inform,north american type of food
1063,request,whats the address
1064,request,phone number
1065,request,post code
1066,thankyou,thank you good bye
1067,inform,i need a restaurant that serves thai food
1068,inform,i dont care
1069,request,whats the address
1070,request,whats the phone number
1071,request,and whats the post code
1072,thankyou,thank you good bye
1073,inform,i need a moderately priced restaurant in the north part of town
1074,request,phone number
1075,null,sil
1076,request,what type of food do they serve
1077,request,what type of food
1078,thankyou,thank you good bye
1079,inform,i need an expensive restaurant in the east part of town
1080,inform,oh i dont care
1081,request,whats the address
1082,bye,alright thank you good bye
1083,inform,im looking for a cheap restaurant in the north part of town
1084,reqalts,anything else
1085,affirm,yes
1086,reqalts,anything else
1087,request,okay do you have the address for da vinci pizzeria
1088,request,and the phone number
1089,thankyou,thank you good bye
1090,null,noise
1091,inform,um im looking for a cheap restaurant
1092,inform,vietnamese
1093,reqalts,is there another
1094,request,and the address
1095,request,what area is that
1096,thankyou,thank you good bye
1097,null,sil
1098,null,sil
1099,inform,im sorry im looking for a moderate priced restaurant
1100,inform,in the south part of town
1101,reqalts,do you have another
1102,request,what is their address
1103,request,and the post code
1104,request,and the phone number
1105,thankyou,okay thank you good bye
1106,inform,im looking for an expensive restaurant in the south part of town
1107,inform,any food
1108,inform,any kind of food
1109,request,what is the address
1110,request,what is the phone number
1111,request,what is the phone number
1112,thankyou,thank you good bye
1113,inform,im looking for an expensive restaurant in the east part of town
1114,null,pizza
1115,inform,steak
1116,reqalts,anything else
1117,request,what is the address phone number and type of food
1118,request,what type of food
1119,thankyou,thank you good bye
1120,inform,im looking for a cheap restaurant in the east part of town that serves gastropub food
1121,request,whats the phone number
1122,thankyou,thank you good bye
1123,hello,hello
1124,inform,unintelligible restaurant in the south part of town
1125,inform,any
1126,request,address
1127,request,what is the address
1128,thankyou,thank you good bye
1129,thankyou,thank you good bye
1130,thankyou,thank you good bye
1131,inform,i want a restaurant in the north part of town
1132,inform,i dont care
1133,inform,lebanese food
1134,inform,italian food
1135,request,what is the address and phone number
1136,thankyou,thank you good bye
1137,inform,im looking for a restaurant in the center of town
1138,inform,romanian
1139,inform,asian oriental
1140,null,unintelligible
1141,request,what is the phone number
1142,thankyou,thank you good bye
1143,inform,i want a moderate priced restaurant that serves indian food
1144,inform,moderate priced restaurant that serves indian food
1145,reqalts,is there anything else
1146,reqalts,is there anything else
1147,inform,im looking for a moderate priced restaurant that serves indian food
1148,reqalts,is there anything else
1149,reqalts,is there anything else
1150,inform,im looking for a moderate priced restaurant that serves indian food
1151,reqalts,is there anything ele
1152,reqalts,is there anything else
1153,reqalts,is there anything else
1154,request,the address
1155,request,what is the address
1156,bye,see you goodbye
1157,bye,see you goodbye
1158,bye,see you goodbye
1159,inform,im looking for an expensive restaurant in the south part of town
1160,inform,i dont care
1161,request,is it what price range
1162,reqalts,is there anything else
1163,reqalts,is there anything else
1164,reqalts,anything else
1165,request,what is the address
1166,request,what is the address
1167,thankyou,thank you goodbye
1168,null,hm
1169,inform,im looking for korean food any price range
1170,inform,korean food price range
1171,request,address
1172,request,phone number
1173,request,post code
1174,thankyou,thank you good bye
1175,inform,im looking for a moderately priced restaurant in the south part of town
1176,reqalts,is there anything else
1177,request,can i have the address and phone number please
1178,request,could i have their phone number as well
1179,thankyou,thank you good bye
1180,inform,im looking for a cheap restaurant that serves malaysian food
1181,inform,is there any that serve european food
1182,thankyou,thank you good bye
1183,inform,im looking for a restaurant in a area that serves
1184,inform,turkish
1185,request,can i have the address and the post code please
1186,request,the post code as well please
1187,thankyou,thank you good bye
1188,inform,looking for a restaurant that serves turkish food
1189,reqalts,is there any other restaurant that serves turkish food
1190,affirm,yes
1191,inform,are their any other restaurants that serve turkish food
1192,request,okay can i have the address and post code please
1193,thankyou,thank you good bye
1194,inform,im looking for a cheap restaurant in the south part of town
